name,iata,icao,lat,lon,country,alt
Corvo Airport,CVU,LPCR,39.671379,-31.1166,Portugal,98
Cotabato Awang Airport,CBO,RPWC,7.165242,124.209602,Philippines,189
Cotonou Cadjehoun Airport,COO,DBBB,6.357228,2.384353,Benin,19
Council Bluffs Municipal Airport,CBF,KCBF,41.259201,-95.760597,United States,1253
Courchevel Altiport,CVF,LFLJ,45.39666,6.633611,France,6580
Coventry Airport,CVT,EGBE,52.36972,-1.47972,United Kingdom,267
Cox's Bazar Airport,CXB,VGCB,21.45219,91.963882,Bangladesh,12
Cozumel International Airport,CZM,MMCZ,20.5224,-86.925598,Mexico,15
Craiova International Airport,CRA,LRCV,44.31813,23.888611,Romania,626
Cranbrook Canadian Rockies International Airport,YXC,CYXC,49.612221,-115.780998,Canada,3084
Crescent City Del Norte County Airport,CEC,KCEC,41.779999,-124.235832,United States,57
Crestview Bob Sikes Airport,CEW,KCEW,30.77883,-86.522102,United States,213
Criciuma Diomicio Freitas Airport,CCM,SBCM,-28.725834,-49.424721,Brazil,93
Crooked Island Colonel Hill Airport,CRI,MYCI,22.75,-74.150002,Bahamas,5
Crookston Municipal Airport,CKN,KCKN,47.841702,-96.621597,United States,899
Cross City Airport,CTY,KCTY,29.6355,-83.104797,United States,42
Cross Lake Airport,YCR,CYCR,54.61306,-97.751442,Canada,685
Crossville Memorial Whitson Field Airport,CSV,KCSV,35.951302,-85.084999,United States,1881
Crotone Airport,CRV,LIBC,38.997219,17.08016,Italy,521
Cruzeiro do Sul International Airport,CZS,SBCZ,-7.5999,-72.769402,Brazil,637
Cucuta Camilo Daza International Airport,CUC,SKCC,7.931389,-72.514099,Colombia,1098
Cuddapah Kadapa Airport,CDP,VOCP,14.51,78.772781,India,430
Cuenca Mariscal Lamar International Airport,CUE,SECU,-2.88946,-78.984299,Ecuador,8306
Cuiaba Marechal Rondon International Airport,CGB,SBCY,-15.6529,-56.116699,Brazil,617
Culiacan International Airport,CUL,MMCL,24.76454,-107.473999,Mexico,108
Cumana Antonio Jose de Sucre Airport,CUM,SVCU,10.45033,-64.130402,Venezuela,25
Cuneo Levaldigi Airport,CUF,LIMZ,44.547009,7.623217,Italy,1267
Cunnamulla Airport,CMA,YCMU,-28.031389,145.616104,Australia,630
Curitiba Afonso Pena International Airport,CWB,SBCT,-25.5284,-49.175701,Brazil,2988
Curtin Airport,DCN,YCIN,-17.580511,123.828598,Australia,285
Cusco Alejandro Velasco Astete International Airport,CUZ,SPZO,-13.5357,-71.938698,Peru,10860
Cuxhaven Nordholz Sea Airport,NDZ,EDXN,53.768612,8.644722,Germany,72
Cuyo Airport,CYU,RPLO,10.8581,121.069,Philippines,13
Czestochowa Rudniki Airport,CZW,EPRU,50.884998,19.2047,Poland,860
Da Lat Lien Khuong Airport,DLI,VVDL,11.75056,108.373611,Vietnam,3156
